CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1T,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE
EK,2346,EMIRATES,2024-03-02 14:20:00,2024-03-02 14:47:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED
FZ,1126,FLYDUBAI,2024-03-02 14:20:00,2024-03-02 14:47:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED
ET,419,ETHIOPIAN AIRLINES,2024-03-02 14:35:00,2024-03-02 14:49:00,D,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,56-62,C,DEPARTED
LY,8809,EL AL ISRAEL AIRLINES,2024-03-02 14:35:00,2024-03-02 14:49:00,D,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,56-62,C,DEPARTED
IZ,162,ARKIA  ISRAELI  AIRLINES,2024-03-02 15:30:00,2024-03-02 15:05:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,,,LANDED
CY,111,CYPRUS AIRWAYS,2024-03-02 15:00:00,2024-03-02 15:11:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,38-40,B,DEPARTED
6H,264,ISRAIR AIRLINES,2024-03-02 15:05:00,2024-03-02 15:23:00,A,MUC,MUNICH,MUNICH,GERMANY,3,,,LANDED
A4,5025,AZIMUTH AIRLINES,2024-03-02 15:35:00,2024-03-02 15:34:00,A,AER,SOCHI,SOCHI,RUSSIAN FEDERATION,3,,,LANDED
AC,9020,AIR CANADA,2024-03-02 15:40:00,2024-03-02 15:49:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,,,LANDED
LH,686,LUFTHANSA,2024-03-02 15:40:00,2024-03-02 15:49:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,,,LANDED
NH,5459,ALL NIPPON AIRWAYS,2024-03-02 15:40:00,2024-03-02 15:49:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,,,LANDED
SN,7173,BRUSSELS AIRLINES,2024-03-02 15:40:00,2024-03-02 15:49:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,,,LANDED
UA,9120,UNITED AIRLINES,2024-03-02 15:40:00,2024-03-02 15:49:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,,,LANDED
LX,252,SWISS INT`L  AIRLINES,2024-03-02 17:10:00,2024-03-02 17:09:00,A,ZRH,ZURICH,ZURICH,SWITZERLAND,3,,,LANDED
U8,108,TUS AIRWAYS,2024-03-02 20:00:00,2024-03-02 19:51:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,,,LANDED
W9,4451,WIZZ UK,2024-03-02 21:05:00,2024-03-02 20:38:00,A,LTN,LUTON,LONDON LUTON,UNITED KINGDOM,3,,,LANDED
BZ,701,BLUE BIRD AIRWAYS,2024-03-02 15:35:00,2024-03-02 20:41:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,LANDED
QF,5020,QANTAS AIRWAYS,2024-03-02 21:30:00,2024-03-02 21:55:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,78-99,D,DEPARTED
TG,4584,THAI AIRWAYS,2024-03-02 21:30:00,2024-03-02 21:55:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,78-99,D,DEPARTED
VN,3298,VIETNAM AIRLINES,2024-03-02 21:30:00,2024-03-02 21:55:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,78-99,D,DEPARTED
