CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LH,681,LUFTHANSA,2024-03-09T17:10:00,2024-03-09T17:53:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,24-33,A,DEPARTED,המריאה
SN,7172,BRUSSELS AIRLINES,2024-03-09T17:10:00,2024-03-09T17:53:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,24-33,A,DEPARTED,המריאה
LX,253,SWISS INT`L  AIRLINES,2024-03-09T18:20:00,2024-03-09T18:25:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,24-33,A,DEPARTED,המריאה
IZ,829,ARKIA  ISRAELI  AIRLINES,2024-03-09T18:50:00,2024-03-09T18:58:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,DEPARTED,המריאה
IZ,1844,ARKIA  ISRAELI  AIRLINES,2024-03-09T19:15:00,2024-03-09T19:13:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
6H,044,ISRAIR AIRLINES,2024-03-09T19:25:00,2024-03-09T19:19:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
IZ,212,ARKIA  ISRAELI  AIRLINES,2024-03-09T19:35:00,2024-03-09T19:31:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
U8,108,TUS AIRWAYS,2024-03-09T20:00:00,2024-03-09T19:49:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
W9,4451,WIZZ UK,2024-03-09T21:05:00,2024-03-09T20:42:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
IZ,1845,ARKIA  ISRAELI  AIRLINES,2024-03-09T20:10:00,2024-03-09T20:51:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,DEPARTED,המריאה
