Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
6H,844,2024-03-11 22:25:00,2024-03-11 22:20:00,A,RMO,CHISINAU,MOLDOVA,3,LANDED
W9,4452,2024-03-11 22:00:00,2024-03-11 22:31:00,D,LTN,LONDON LUTON,UNITED KINGDOM,3,DEPARTED
LY,5134,2024-03-11 23:10:00,2024-03-11 22:38:00,A,LCA,LARNACA,CYPRUS,3,LANDED
LY,5102,2024-03-11 23:10:00,2024-03-11 23:15:00,A,WAW,WARSAW,POLAND,3,LANDED
LY,5110,2024-03-11 23:00:00,2024-03-11 23:17:00,A,TBS,TBILISI,GEORGIA,3,LANDED
LY,544,2024-03-11 22:25:00,2024-03-11 23:35:00,A,ATH,ATHENS,GREECE,3,LANDED
6H,768,2024-03-11 23:45:00,2024-03-11 23:40:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED
WZ,012,2024-03-11 23:10:00,2024-03-11 23:47:00,D,AER,SOCHI,RUSSIAN FEDERATION,3,DEPARTED
6H,562,2024-03-12 00:05:00,2024-03-11 23:54:00,A,ATH,ATHENS,GREECE,3,LANDED
6H,584,2024-03-12 00:45:00,2024-03-12 00:06:00,A,LCA,LARNACA,CYPRUS,3,LANDED
IZ,388,2024-03-12 00:30:00,2024-03-12 00:10:00,A,BEG,BELGRADE,SERBIA,3,LANDED
BZ,461,2024-03-12 00:05:00,2024-03-12 00:15:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED
LY,282,2024-03-11 23:30:00,2024-03-12 00:17:00,A,MXP,MILAN,ITALY,3,LANDED
ET,404,2024-03-12 00:35:00,2024-03-12 00:19:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
LY,8804,2024-03-12 00:35:00,2024-03-12 00:19:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
B6,6481,2024-03-12 00:05:00,2024-03-12 00:22:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
DL,7441,2024-03-12 00:05:00,2024-03-12 00:22:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
LY,025,2024-03-12 00:05:00,2024-03-12 00:22:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
LY,328,2024-03-12 00:10:00,2024-03-12 00:28:00,A,CDG,PARIS,FRANCE,3,LANDED
SK,3162,2024-03-12 00:10:00,2024-03-12 00:28:00,A,CDG,PARIS,FRANCE,3,LANDED
AA,387,2024-03-12 00:35:00,2024-03-12 00:38:00,A,FCO,ROME,ITALY,3,LANDED
AR,7874,2024-03-12 00:35:00,2024-03-12 00:38:00,A,FCO,ROME,ITALY,3,LANDED
LY,384,2024-03-12 00:35:00,2024-03-12 00:38:00,A,FCO,ROME,ITALY,3,LANDED
SK,3166,2024-03-12 00:35:00,2024-03-12 00:38:00,A,FCO,ROME,ITALY,3,LANDED
TP,8897,2024-03-12 00:35:00,2024-03-12 00:38:00,A,FCO,ROME,ITALY,3,LANDED
LY,244,2024-03-12 00:50:00,2024-03-12 00:48:00,A,ZRH,ZURICH,SWITZERLAND,3,LANDED
LY,572,2024-03-12 00:30:00,2024-03-12 00:59:00,A,OTP,BUCHAREST,ROMANIA,3,LANDED
AR,7851,2024-03-12 01:00:00,2024-03-12 01:00:00,D,MIA,MIAMI,UNITED STATES,3,CANCELED
B6,6467,2024-03-12 01:00:00,2024-03-12 01:00:00,D,MIA,MIAMI,UNITED STATES,3,CANCELED
DL,7437,2024-03-12 01:00:00,2024-03-12 01:00:00,D,MIA,MIAMI,UNITED STATES,3,CANCELED
LY,017,2024-03-12 01:00:00,2024-03-12 01:00:00,D,MIA,MIAMI,UNITED STATES,3,CANCELED
AM,7875,2024-03-12 00:45:00,2024-03-12 01:07:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
B6,6461,2024-03-12 00:45:00,2024-03-12 01:07:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
DL,7428,2024-03-12 00:45:00,2024-03-12 01:07:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
LY,005,2024-03-12 00:45:00,2024-03-12 01:07:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
AM,7869,2024-03-12 00:45:00,2024-03-12 01:11:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
AR,7853,2024-03-12 00:45:00,2024-03-12 01:11:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
B6,6451,2024-03-12 00:45:00,2024-03-12 01:11:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
DL,7424,2024-03-12 00:45:00,2024-03-12 01:11:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
LY,001,2024-03-12 00:45:00,2024-03-12 01:11:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
B6,6465,2024-03-12 01:05:00,2024-03-12 01:16:00,D,BOS,BOSTON,UNITED STATES,3,DEPARTED
DL,7435,2024-03-12 01:05:00,2024-03-12 01:16:00,D,BOS,BOSTON,UNITED STATES,3,DEPARTED
LY,015,2024-03-12 01:05:00,2024-03-12 01:16:00,D,BOS,BOSTON,UNITED STATES,3,DEPARTED
LY,364,2024-03-12 01:05:00,2024-03-12 01:23:00,A,VIE,VIENNA,AUSTRIA,3,LANDED
LY,356,2024-03-12 01:15:00,2024-03-12 01:28:00,A,FRA,FRANKFURT,GERMANY,3,LANDED
ET,405,2024-03-12 01:30:00,2024-03-12 01:35:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED
LY,8807,2024-03-12 01:30:00,2024-03-12 01:35:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED
LY,2368,2024-03-12 00:55:00,2024-03-12 01:51:00,A,BUD,BUDAPEST,HUNGARY,3,LANDED
LY,1388,2024-03-12 02:30:00,2024-03-12 02:26:00,A,MXP,MILAN,ITALY,3,LANDED
LY,2524,2024-03-12 02:45:00,2024-03-12 02:47:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED
AM,7850,2024-03-12 02:55:00,2024-03-12 03:30:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
LY,336,2024-03-12 02:55:00,2024-03-12 03:30:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
SK,3152,2024-03-12 02:55:00,2024-03-12 03:30:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
LY,376,2024-03-12 02:30:00,2024-03-12 03:35:00,A,LIS,LISBON,PORTUGAL,3,LANDED
TP,8913,2024-03-12 02:30:00,2024-03-12 03:35:00,A,LIS,LISBON,PORTUGAL,3,LANDED
OS,859,2024-03-12 03:35:00,2024-03-12 03:38:00,A,VIE,VIENNA,AUSTRIA,3,LANDED
AM,7854,2024-03-12 03:55:00,2024-03-12 03:48:00,A,CDG,PARIS,FRANCE,3,LANDED
LY,326,2024-03-12 03:55:00,2024-03-12 03:48:00,A,CDG,PARIS,FRANCE,3,LANDED
SK,3158,2024-03-12 03:55:00,2024-03-12 03:48:00,A,CDG,PARIS,FRANCE,3,LANDED
LO,151,2024-03-12 03:45:00,2024-03-12 04:00:00,A,WAW,WARSAW,POLAND,3,LANDED
LY,9256,2024-03-12 03:45:00,2024-03-12 04:00:00,A,WAW,WARSAW,POLAND,3,LANDED
QS,1286,2024-03-12 04:35:00,2024-03-12 04:24:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED
AA,9267,2024-03-12 05:05:00,2024-03-12 04:39:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
AM,7876,2024-03-12 05:05:00,2024-03-12 04:39:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
LY,318,2024-03-12 05:05:00,2024-03-12 04:39:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
SK,3174,2024-03-12 05:05:00,2024-03-12 04:39:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
BZ,251,2024-03-12 05:05:00,2024-03-12 04:46:00,A,BCN,BARCELONA,SPAIN,3,LANDED
IZ,639,2024-03-12 05:30:00,2024-03-12 05:30:00,D,SEZ,MAHE SEYCHELLES,SEYCHELLES,3,CANCELED
LO,152,2024-03-12 05:20:00,2024-03-12 05:32:00,D,WAW,WARSAW,POLAND,3,DEPARTED
LY,9255,2024-03-12 05:20:00,2024-03-12 05:32:00,D,WAW,WARSAW,POLAND,3,DEPARTED
NH,5620,2024-03-12 05:20:00,2024-03-12 05:32:00,D,VIE,VIENNA,AUSTRIA,3,DEPARTED
OS,860,2024-03-12 05:20:00,2024-03-12 05:32:00,D,VIE,VIENNA,AUSTRIA,3,DEPARTED
LY,5129,2024-03-12 05:15:00,2024-03-12 05:34:00,D,RMO,CHISINAU,MOLDOVA,3,DEPARTED
QS,1287,2024-03-12 05:35:00,2024-03-12 05:50:00,D,PRG,PRAGUE,CZECH REPUBLIC,3,DEPARTED
LY,082,2024-03-12 06:15:00,2024-03-12 05:56:00,A,BKK,BANGKOK,THAILAND,3,LANDED
QF,5021,2024-03-12 06:15:00,2024-03-12 05:56:00,A,BKK,BANGKOK,THAILAND,3,LANDED
TG,5483,2024-03-12 06:15:00,2024-03-12 05:56:00,A,BKK,BANGKOK,THAILAND,3,LANDED
VN,3299,2024-03-12 06:15:00,2024-03-12 05:56:00,A,BKK,BANGKOK,THAILAND,3,LANDED
LY,004,2024-03-12 05:50:00,2024-03-12 05:59:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
AR,7850,2024-03-12 06:45:00,2024-03-12 06:01:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
B6,6468,2024-03-12 06:45:00,2024-03-12 06:01:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
DL,7438,2024-03-12 06:45:00,2024-03-12 06:01:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
LY,018,2024-03-12 06:45:00,2024-03-12 06:01:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
LY,1017,2024-03-12 05:50:00,2024-03-12 06:11:00,D,MIA,MIAMI,UNITED STATES,3,DEPARTED
AA,9263,2024-03-12 06:00:00,2024-03-12 06:15:00,D,MUC,MUNICH,GERMANY,3,DEPARTED
LY,353,2024-03-12 06:00:00,2024-03-12 06:15:00,D,MUC,MUNICH,GERMANY,3,DEPARTED
AM,7864,2024-03-12 05:55:00,2024-03-12 06:16:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
LY,337,2024-03-12 05:55:00,2024-03-12 06:16:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
SK,3155,2024-03-12 05:55:00,2024-03-12 06:16:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
LY,2371,2024-03-12 06:00:00,2024-03-12 06:18:00,D,BER,BERLIN,GERMANY,3,DEPARTED
SK,3157,2024-03-12 06:00:00,2024-03-12 06:18:00,D,BER,BERLIN,GERMANY,3,DEPARTED
LY,5407,2024-03-12 06:00:00,2024-03-12 06:21:00,D,KRK,KRAKOW,POLAND,3,DEPARTED
AR,7877,2024-03-12 06:10:00,2024-03-12 06:23:00,D,FCO,ROME,ITALY,3,DEPARTED
LY,385,2024-03-12 06:10:00,2024-03-12 06:23:00,D,FCO,ROME,ITALY,3,DEPARTED
SK,3167,2024-03-12 06:10:00,2024-03-12 06:23:00,D,FCO,ROME,ITALY,3,DEPARTED
TP,8898,2024-03-12 06:10:00,2024-03-12 06:23:00,D,FCO,ROME,ITALY,3,DEPARTED
LY,345,2024-03-12 06:10:00,2024-03-12 06:28:00,D,GVA,GENEVA,SWITZERLAND,3,DEPARTED
AA,9262,2024-03-12 05:50:00,2024-03-12 06:30:00,D,CDG,PARIS,FRANCE,3,DEPARTED
AM,7867,2024-03-12 05:50:00,2024-03-12 06:30:00,D,CDG,PARIS,FRANCE,3,DEPARTED
LY,319,2024-03-12 05:50:00,2024-03-12 06:30:00,D,CDG,PARIS,FRANCE,3,DEPARTED
SK,3161,2024-03-12 05:50:00,2024-03-12 06:30:00,D,CDG,PARIS,FRANCE,3,DEPARTED
