CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHRMINE,CHRMINH
IZ,212,ARKIA  ISRAELI  AIRLINES,2024-03-16T21:25:00,2024-03-16T21:06:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,LANDED,נחתה
IZ,1845,ARKIA  ISRAELI  AIRLINES,2024-03-16T20:50:00,2024-03-16T21:20:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,DEPARTED,המריאה
BZ,131,BLUE BIRD AIRWAYS,2024-03-16T21:00:00,2024-03-16T21:32:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,LANDED,נחתה
6H,047,ISRAIR AIRLINES,2024-03-16T20:30:00,2024-03-16T21:32:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,DEPARTED,המריאה
6H,146,ISRAIR AIRLINES,2024-03-16T21:40:00,2024-03-16T21:52:00,A,GNB,GRENOBLE-SAUNT GEOIRS,גרנובל,GRENOBLE,צרפת,FRANCE,3,LANDED,נחתה
IZ,552,ARKIA  ISRAELI  AIRLINES,2024-03-16T21:20:00,2024-03-16T21:54:00,A,RVN,ROVANIEMI,רובניימי,ROVANIEMI,פינלנד,FINLAND,3,LANDED,נחתה
LY,091,EL AL ISRAEL AIRLINES,2024-03-16T21:45:00,2024-03-16T21:55:00,D,NRT,TOKYO INTL.-NARITA,טוקיו,TOKYO,יפן,JAPAN,3,DEPARTED,המריאה
LY,5131,EL AL ISRAEL AIRLINES,2024-03-16T21:50:00,2024-03-16T22:03:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,DEPARTED,המריאה
W9,4452,WIZZ UK,2024-03-16T21:55:00,2024-03-16T22:08:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,DEPARTED,המריאה
LY,081,EL AL ISRAEL AIRLINES,2024-03-16T21:40:00,2024-03-16T22:09:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,DEPARTED,המריאה
QF,5020,QANTAS AIRWAYS,2024-03-16T21:40:00,2024-03-16T22:09:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,DEPARTED,המריאה
TG,4584,THAI AIRWAYS,2024-03-16T21:40:00,2024-03-16T22:09:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,DEPARTED,המריאה
VN,3298,VIETNAM AIRLINES,2024-03-16T21:40:00,2024-03-16T22:09:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,DEPARTED,המריאה
LY,083,EL AL ISRAEL AIRLINES,2024-03-16T21:50:00,2024-03-16T22:18:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,DEPARTED,המריאה
QF,5018,QANTAS AIRWAYS,2024-03-16T21:50:00,2024-03-16T22:18:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,DEPARTED,המריאה
TG,4586,THAI AIRWAYS,2024-03-16T21:50:00,2024-03-16T22:18:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,DEPARTED,המריאה
IZ,1806,ARKIA  ISRAELI  AIRLINES,2024-03-16T21:55:00,2024-03-16T22:23:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,LANDED,נחתה
LY,545,EL AL ISRAEL AIRLINES,2024-03-16T22:15:00,2024-03-16T22:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,DEPARTED,המריאה
BZ,702,BLUE BIRD AIRWAYS,2024-03-16T21:55:00,2024-03-16T23:02:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,DEPARTED,המריאה
6H,048,ISRAIR AIRLINES,2024-03-16T23:15:00,2024-03-16T23:20:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,LANDED,נחתה
IZ,1846,ARKIA  ISRAELI  AIRLINES,2024-03-16T23:00:00,2024-03-16T23:23:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,LANDED,נחתה
ET,404,ETHIOPIAN AIRLINES,2024-03-17T00:35:00,2024-03-17T00:01:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,LANDED,נחתה
LY,8804,EL AL ISRAEL AIRLINES,2024-03-17T00:35:00,2024-03-17T00:01:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,LANDED,נחתה
LY,572,EL AL ISRAEL AIRLINES,2024-03-17T00:20:00,2024-03-17T00:03:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,LANDED,נחתה
B6,6481,JETBLUE AIRWAYS CORPORATION,2024-03-17T00:05:00,2024-03-17T00:15:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
DL,7441,DELTA AIRLINES,2024-03-17T00:05:00,2024-03-17T00:15:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
LY,025,EL AL ISRAEL AIRLINES,2024-03-17T00:05:00,2024-03-17T00:15:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
LY,544,EL AL ISRAEL AIRLINES,2024-03-17T00:25:00,2024-03-17T00:25:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,LANDED,נחתה
AM,7869,AERO MEXICO,2024-03-17T00:45:00,2024-03-17T00:59:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-03-17T00:45:00,2024-03-17T00:59:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
B6,6451,JETBLUE AIRWAYS CORPORATION,2024-03-17T00:45:00,2024-03-17T00:59:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
DL,7424,DELTA AIRLINES,2024-03-17T00:45:00,2024-03-17T00:59:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
