Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
LY,842,2022-03-07 16:00:00,2022-03-07 17:04:00,A,LGG,LIEGE,BELGIUM,3,LANDED
AA,146,2022-03-07 17:15:00,2022-03-07 17:05:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
USF,RCH18,2022-03-07 17:15:00,2022-03-07 17:05:00,D,RMS,RAMSTEIN,GERMANY,3,CANCELED
AHS,N120L,2022-03-07 16:30:00,2022-03-07 17:08:00,D,TEB,TETERBORO,UNITED STATES,3,DEPARTED
LH,687,2022-03-07 16:25:00,2022-03-07 17:09:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED
AA,8379,2022-03-07 17:00:00,2022-03-07 17:10:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
LY,338,2022-03-07 17:00:00,2022-03-07 17:10:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
LAU,9HSIS,2022-03-07 17:00:00,2022-03-07 17:15:00,D,WAW,WARSAW,POLAND,3,DEPARTED
460,4XCMC,2022-03-07 17:00:00,2022-03-07 17:18:00,D,BCM,BACAU,ROMANIA,3,DEPARTED
6H,665,2022-03-07 17:20:00,2022-03-07 17:20:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,CANCELED
AC,2359,2022-03-07 17:30:00,2022-03-07 17:21:00,A,SNN,SHANNON,IRELAND,3,LANDED
FR,6472,2022-03-07 17:35:00,2022-03-07 17:32:00,A,BER,BERLIN,GERMANY,3,LANDED
LY,2373,2022-03-07 17:20:00,2022-03-07 17:35:00,D,BER,BERLIN,GERMANY,3,DEPARTED
LY,691,2022-03-07 16:05:00,2022-03-07 17:35:00,D,TBS,TBILISI,GEORGIA,3,DEPARTED
OS,861,2022-03-07 17:45:00,2022-03-07 17:36:00,A,VIE,VIENNA,AUSTRIA,3,LANDED
FR,4103,2022-03-07 18:00:00,2022-03-07 17:38:00,A,PFO,PAPHOS,CYPRUS,3,LANDED
AM,7862,2022-03-07 17:35:00,2022-03-07 17:45:00,D,MAD,MADRID,SPAIN,3,DEPARTED
AR,7873,2022-03-07 17:35:00,2022-03-07 17:45:00,D,MAD,MADRID,SPAIN,3,DEPARTED
IB,2396,2022-03-07 17:35:00,2022-03-07 17:45:00,D,MAD,MADRID,SPAIN,3,DEPARTED
LY,397,2022-03-07 17:35:00,2022-03-07 17:45:00,D,MAD,MADRID,SPAIN,3,DEPARTED
FR,2006,2022-03-07 17:30:00,2022-03-07 17:49:00,D,BGY,BERGAMO,ITALY,3,DEPARTED
LH,681,2022-03-07 17:05:00,2022-03-07 17:50:00,D,MUC,MUNICH,GERMANY,3,DEPARTED
EJU,3737,2022-03-07 18:15:00,2022-03-07 17:53:00,A,CDG,PARIS,FRANCE,3,LANDED
IZ,312,2022-03-07 18:05:00,2022-03-07 18:05:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,CANCELED
QAS,9HVCK,2022-03-07 17:00:00,2022-03-07 18:06:00,A,TIA,TIRANA,ALBANIA,3,LANDED
6H,046,2022-03-07 18:05:00,2022-03-07 18:08:00,A,ETM,RAMON,ISRAEL,1,LANDED
QAS,DCFIV,2022-03-07 13:10:00,2022-03-07 18:09:00,D,KID,KRISTIANSTAD,SWEDEN,3,DEPARTED
LY,571,2022-03-07 17:50:00,2022-03-07 18:12:00,D,OTP,BUCHAREST,ROMANIA,3,DEPARTED
TO,3939,2022-03-07 18:00:00,2022-03-07 18:12:00,D,ORY,PARIS,FRANCE,1,DEPARTED
VY,7844,2022-03-07 18:15:00,2022-03-07 18:13:00,A,BCN,BARCELONA,SPAIN,3,LANDED
LX,252,2022-03-07 17:25:00,2022-03-07 18:16:00,A,ZRH,ZURICH,SWITZERLAND,3,LANDED
IZ,814,2022-03-07 18:05:00,2022-03-07 18:18:00,A,ETM,RAMON,ISRAEL,1,LANDED
TK,6246,2022-03-07 21:00:00,2022-03-07 18:26:00,A,IST,ISTANBUL,TURKEY,3,LANDED
EZY,2085,2022-03-07 18:40:00,2022-03-07 18:29:00,A,LTN,LONDON LUTON,UNITED KINGDOM,3,LANDED
LY,5060,2022-03-07 18:45:00,2022-03-07 18:45:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,CANCELED
IZ,1604,2022-03-07 17:45:00,2022-03-07 18:49:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FR,6473,2022-03-07 18:35:00,2022-03-07 18:50:00,D,BER,BERLIN,GERMANY,3,DEPARTED
LY,2431,2022-03-07 18:45:00,2022-03-07 18:57:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED
3V,4849,2022-03-07 18:50:00,2022-03-07 19:01:00,D,CDG,PARIS,FRANCE,3,DEPARTED
FR,4104,2022-03-07 18:55:00,2022-03-07 19:02:00,D,PFO,PAPHOS,CYPRUS,3,DEPARTED
IZ,821,2022-03-07 17:05:00,2022-03-07 19:04:00,D,ETM,RAMON,ISRAEL,1,DEPARTED
5X,267,2022-03-07 19:55:00,2022-03-07 19:09:00,A,LCA,LARNACA,CYPRUS,3,LANDED
LH,694,2022-03-07 19:10:00,2022-03-07 19:13:00,A,FRA,FRANKFURT,GERMANY,3,LANDED
AHS,VPCSB,2022-03-07 18:30:00,2022-03-07 19:15:00,A,ATH,ATHENS,GREECE,3,LANDED
LY,821,2022-03-07 18:30:00,2022-03-07 19:17:00,D,LGG,LIEGE,BELGIUM,3,DEPARTED
AA,8390,2022-03-07 19:40:00,2022-03-07 19:22:00,A,BCN,BARCELONA,SPAIN,3,LANDED
IB,2393,2022-03-07 19:40:00,2022-03-07 19:22:00,A,BCN,BARCELONA,SPAIN,3,LANDED
LY,394,2022-03-07 19:40:00,2022-03-07 19:22:00,A,BCN,BARCELONA,SPAIN,3,LANDED
JU,8254,2022-03-07 19:25:00,2022-03-07 19:24:00,A,IST,ISTANBUL,TURKEY,3,LANDED
TK,788,2022-03-07 19:25:00,2022-03-07 19:24:00,A,IST,ISTANBUL,TURKEY,3,LANDED
A9,699,2022-03-07 19:20:00,2022-03-07 19:26:00,A,TBS,TBILISI,GEORGIA,3,LANDED
FR,5525,2022-03-07 19:55:00,2022-03-07 19:29:00,A,SKG,THESSALONIKI,GREECE,3,LANDED
IZ,827,2022-03-07 19:00:00,2022-03-07 19:31:00,D,ETM,RAMON,ISRAEL,1,DEPARTED
EZY,1827,2022-03-07 19:40:00,2022-03-07 19:33:00,A,MAN,MANCHESTER,UNITED KINGDOM,3,LANDED
UA,954,2022-03-07 19:35:00,2022-03-07 19:35:00,A,SFO,SAN FRANCISCO,UNITED STATES,3,LANDED
EJU,3738,2022-03-07 19:15:00,2022-03-07 19:36:00,D,CDG,PARIS,FRANCE,3,DEPARTED
AA,8376,2022-03-07 20:00:00,2022-03-07 19:41:00,A,CDG,PARIS,FRANCE,3,LANDED
LY,324,2022-03-07 20:00:00,2022-03-07 19:41:00,A,CDG,PARIS,FRANCE,3,LANDED
6H,457,2022-03-07 19:10:00,2022-03-07 19:42:00,D,ETM,RAMON,ISRAEL,1,DEPARTED
LX,253,2022-03-07 18:25:00,2022-03-07 19:46:00,D,ZRH,ZURICH,SWITZERLAND,3,DEPARTED
SU,509,2022-03-07 19:20:00,2022-03-07 19:49:00,D,SVO,MOSCOW,RUSSIAN FEDERATION,1,DEPARTED
VY,7845,2022-03-07 19:15:00,2022-03-07 19:51:00,D,BCN,BARCELONA,SPAIN,1,DEPARTED
FR,6768,2022-03-07 20:25:00,2022-03-07 19:55:00,A,BUD,BUDAPEST,HUNGARY,3,LANDED
TK,6247,2022-03-07 22:30:00,2022-03-07 19:57:00,D,IST,ISTANBUL,TURKEY,3,DEPARTED
QAS,MSAGI,2022-03-07 20:00:00,2022-03-07 20:00:00,D,LCA,LARNACA,CYPRUS,3,CANCELED
EZY,2086,2022-03-07 19:35:00,2022-03-07 20:03:00,D,LTN,LONDON LUTON,UNITED KINGDOM,3,DEPARTED
LY,051,2022-03-07 20:10:00,2022-03-07 20:23:00,D,JNB,JOHANNESBURG,SOUTH AFRICA,3,DEPARTED
QF,5024,2022-03-07 20:10:00,2022-03-07 20:23:00,D,JNB,JOHANNESBURG,SOUTH AFRICA,3,DEPARTED
QAS,FHGLG,2022-03-07 20:45:00,2022-03-07 20:27:00,A,CFE,CLERMOND FERR'D,FRANCE,3,LANDED
QAS,T7SBR,2022-03-07 13:45:00,2022-03-07 20:38:00,A,VRN,VERONA,ITALY,3,LANDED
LY,612,2022-03-07 21:00:00,2022-03-07 20:39:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED
S7,4483,2022-03-07 21:00:00,2022-03-07 20:39:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED
QY,961,2022-03-07 20:20:00,2022-03-07 20:40:00,D,LEJ,LEIPZIG,GERMANY,3,DEPARTED
LY,974,2022-03-07 20:45:00,2022-03-07 20:43:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
AA,8372,2022-03-07 21:05:00,2022-03-07 20:44:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
LY,316,2022-03-07 21:05:00,2022-03-07 20:44:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
311,T7CPX,2022-03-07 20:30:00,2022-03-07 20:47:00,A,CMF,CHAMBERY,FRANCE,3,LANDED
A9,700,2022-03-07 20:20:00,2022-03-07 20:48:00,D,TBS,TBILISI,GEORGIA,1,DEPARTED
LY,543,2022-03-07 20:45:00,2022-03-07 20:53:00,D,ATH,ATHENS,GREECE,3,DEPARTED
PC,785,2022-03-07 21:25:00,2022-03-07 21:03:00,A,SAW,ISTANBUL,TURKEY,3,LANDED
EZY,1828,2022-03-07 20:35:00,2022-03-07 21:04:00,D,MAN,MANCHESTER,UNITED KINGDOM,3,DEPARTED
IZ,822,2022-03-07 19:15:00,2022-03-07 21:07:00,A,ETM,RAMON,ISRAEL,1,LANDED
FR,5526,2022-03-07 20:45:00,2022-03-07 21:08:00,D,SKG,THESSALONIKI,GREECE,3,DEPARTED
U8,102,2022-03-07 21:30:00,2022-03-07 21:11:00,A,LCA,LARNACA,CYPRUS,3,LANDED
6H,722,2022-03-07 21:25:00,2022-03-07 21:20:00,A,SOF,SOFIA,BULGARIA,3,LANDED
IZ,828,2022-03-07 21:15:00,2022-03-07 21:22:00,A,ETM,RAMON,ISRAEL,1,LANDED
TK,789,2022-03-07 21:00:00,2022-03-07 21:25:00,D,IST,ISTANBUL,TURKEY,3,DEPARTED
5X,267,2022-03-07 21:10:00,2022-03-07 21:28:00,D,CGN,COLOGNE,GERMANY,3,DEPARTED
LY,2432,2022-03-07 21:45:00,2022-03-07 21:34:00,A,LCA,LARNACA,CYPRUS,3,LANDED
FR,6769,2022-03-07 21:15:00,2022-03-07 21:44:00,D,BUD,BUDAPEST,HUNGARY,3,DEPARTED
JU,8255,2022-03-07 21:45:00,2022-03-07 21:47:00,A,IST,ISTANBUL,TURKEY,3,LANDED
TK,790,2022-03-07 21:45:00,2022-03-07 21:47:00,A,IST,ISTANBUL,TURKEY,3,LANDED
6H,458,2022-03-07 22:00:00,2022-03-07 21:53:00,A,ETM,RAMON,ISRAEL,1,LANDED
AHS,OELML,2022-03-07 22:00:00,2022-03-07 22:00:00,A,LBG,PARIS,FRANCE,3,CANCELED
QAS,DAGBF,2022-03-07 23:10:00,2022-03-07 22:03:00,A,MUC,MUNICH,GERMANY,3,LANDED
AA,8850,2022-03-07 22:45:00,2022-03-07 22:08:00,A,MAD,MADRID,SPAIN,3,LANDED
IB,3316,2022-03-07 22:45:00,2022-03-07 22:08:00,A,MAD,MADRID,SPAIN,3,LANDED
LY,8396,2022-03-07 22:45:00,2022-03-07 22:08:00,A,MAD,MADRID,SPAIN,3,LANDED
VY,5269,2022-03-07 22:45:00,2022-03-07 22:08:00,A,MAD,MADRID,SPAIN,3,LANDED
TK,7710,2022-03-07 22:10:00,2022-03-07 22:10:00,A,SAW,ISTANBUL,TURKEY,3,LANDED
QAS,MSAGI,2022-03-07 22:15:00,2022-03-07 22:15:00,A,LCA,LARNACA,CYPRUS,3,CANCELED
LY,081,2022-03-07 22:00:00,2022-03-07 22:16:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
QF,5020,2022-03-07 22:00:00,2022-03-07 22:16:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
TG,4584,2022-03-07 22:00:00,2022-03-07 22:16:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
VN,3298,2022-03-07 22:00:00,2022-03-07 22:16:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
HM,022,2022-03-07 21:50:00,2022-03-07 22:23:00,A,SEZ,MAHE SEYCHELLES,SEYCHELLES,3,LANDED
IZ,297,2022-03-07 20:30:00,2022-03-07 22:42:00,D,IAS,IASI,ROMANIA,1,DEPARTED
VJT,9HVCD,2022-03-07 23:00:00,2022-03-07 22:45:00,A,LIN,MILAN,ITALY,3,LANDED
RO,153,2022-03-07 22:30:00,2022-03-07 22:54:00,A,OTP,BUCHAREST,ROMANIA,3,LANDED
LAU,9HAMY,2022-03-07 23:45:00,2022-03-07 23:00:00,A,LTN,LONDON LUTON,UNITED KINGDOM,3,LANDED
EK,2367,2022-03-07 22:45:00,2022-03-07 23:17:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1627,2022-03-07 22:45:00,2022-03-07 23:17:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
5W,7085,2022-03-07 23:20:00,2022-03-07 23:26:00,A,AUH,ABU DHABI,UNITED ARAB EMIRATES,3,LANDED
AA,053,2022-03-07 23:15:00,2022-03-07 23:28:00,D,MIA,MIAMI,UNITED STATES,3,DEPARTED
UA,091,2022-03-07 23:10:00,2022-03-07 23:30:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
AY,1979,2022-03-07 23:55:00,2022-03-07 23:32:00,A,HEL,HELSINKI,FINLAND,3,LANDED
LY,618,2022-03-07 23:00:00,2022-03-07 23:40:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED
LY,692,2022-03-07 22:20:00,2022-03-07 23:47:00,A,TBS,TBILISI,GEORGIA,3,LANDED
EK,2345,2022-03-07 23:45:00,2022-03-07 23:51:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1807,2022-03-07 23:45:00,2022-03-07 23:51:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
PC,779,2022-03-08 00:10:00,2022-03-08 00:00:00,A,SAW,ISTANBUL,TURKEY,3,LANDED
6H,662,2022-03-08 00:05:00,2022-03-08 00:05:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,CANCELED
460,4XCMC,2022-03-07 23:45:00,2022-03-08 00:07:00,A,BCM,BACAU,ROMANIA,3,LANDED
LY,364,2022-03-08 00:35:00,2022-03-08 00:09:00,A,VIE,VIENNA,AUSTRIA,3,LANDED
DL,235,2022-03-07 23:55:00,2022-03-08 00:10:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
JU,8256,2022-03-08 00:05:00,2022-03-08 00:23:00,D,IST,ISTANBUL,TURKEY,3,DEPARTED
TK,791,2022-03-08 00:05:00,2022-03-08 00:23:00,D,IST,ISTANBUL,TURKEY,3,DEPARTED
QAS,N451C,2022-03-08 00:15:00,2022-03-08 00:28:00,D,FAR,FARO,UNITED STATES,3,DEPARTED
RO,154,2022-03-07 23:30:00,2022-03-08 00:31:00,D,OTP,BUCHAREST,ROMANIA,1,DEPARTED
LY,572,2022-03-08 00:20:00,2022-03-08 00:33:00,A,OTP,BUCHAREST,ROMANIA,3,LANDED
A3,928,2022-03-08 00:55:00,2022-03-08 00:36:00,A,ATH,ATHENS,GREECE,3,LANDED
341,4XCUZ,2022-03-08 03:00:00,2022-03-08 00:44:00,A,RIX,RIGA,LATVIA,3,LANDED
LAU,N1916,2022-03-07 17:00:00,2022-03-08 00:45:00,D,IAS,IASI,ROMANIA,3,DEPARTED
LY,5458,2022-03-07 23:55:00,2022-03-08 00:48:00,A,IAS,IASI,ROMANIA,3,LANDED
EK,2368,2022-03-07 23:45:00,2022-03-08 00:49:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,1,DEPARTED
FZ,1628,2022-03-07 23:45:00,2022-03-08 00:49:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,1,DEPARTED
IZ,626,2022-03-08 00:15:00,2022-03-08 00:53:00,A,BBK,KASANE INTERNAT,BOTSWANA,3,LANDED
5W,7086,2022-03-08 00:10:00,2022-03-08 00:54:00,D,AUH,ABU DHABI,UNITED ARAB EMIRATES,1,DEPARTED
AA,145,2022-03-08 00:45:00,2022-03-08 00:58:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
AY,1980,2022-03-08 00:50:00,2022-03-08 01:00:00,D,HEL,HELSINKI,FINLAND,1,DEPARTED
ET,405,2022-03-08 00:45:00,2022-03-08 01:02:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED
LY,8807,2022-03-08 00:45:00,2022-03-08 01:02:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED
